	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	-4588.4	-349.626984127	-305.463492063	-305.760089686
1	0.0005	-4576.4	-349.626984127	-305.463492063	-350.890134529
2	0.001	-4576.4	-349.626984127	-351.126984127	-283.195067265
3	0.0015	-4576.4	-281.131746032	-351.126984127	-305.760089686
4	0.002	-4576.4	-349.626984127	-282.631746032	-305.760089686
5	0.0025	-4576.4	-303.963492063	-351.126984127	-305.760089686
6	0.003	-4576.4	-303.963492063	-351.126984127	-305.760089686
7	0.0035	-4576.4	-303.963492063	-351.126984127	-305.760089686
8	0.004	-4576.4	-303.963492063	-351.126984127	-305.760089686
9	0.0045	-4576.4	-303.963492063	-305.463492063	-305.760089686
10	0.005	-4576.4	-303.963492063	-305.463492063	-305.760089686
11	0.0055	-4576.4	-303.963492063	-351.126984127	-283.195067265
12	0.006	-4576.4	-349.626984127	-305.463492063	-283.195067265
13	0.0065	-4588.4	-303.963492063	-305.463492063	-283.195067265
14	0.007	-4576.4	-349.626984127	-351.126984127	-305.760089686
15	0.0075	-4576.4	-349.626984127	-351.126984127	-305.760089686
16	0.008	-4576.4	-303.963492063	-282.631746032	-305.760089686
17	0.0085	-4576.4	-349.626984127	-351.126984127	-305.760089686
18	0.009	-4576.4	-303.963492063	-351.126984127	-305.760089686
19	0.0095	-4576.4	-349.626984127	-305.463492063	-305.760089686
20	0.01	-4588.4	-349.626984127	-305.463492063	-350.890134529
21	0.0105	-4576.4	-349.626984127	-305.463492063	-350.890134529
22	0.011	-4588.4	-349.626984127	-305.463492063	-350.890134529
23	0.0115	-4576.4	-349.626984127	-305.463492063	-350.890134529
24	0.012	-4576.4	-349.626984127	-305.463492063	-305.760089686
25	0.0125	-4576.4	-349.626984127	-351.126984127	-305.760089686
26	0.013	-4576.4	-303.963492063	-351.126984127	-305.760089686
27	0.0135	-4576.4	-349.626984127	-351.126984127	-305.760089686
28	0.014	-4576.4	-303.963492063	-305.463492063	-350.890134529
29	0.0145	-4576.4	-303.963492063	-351.126984127	-305.760089686
30	0.015	-4576.4	-303.963492063	-305.463492063	-305.760089686
31	0.0155	-4576.4	-303.963492063	-282.631746032	-350.890134529
32	0.016	-4576.4	-349.626984127	-305.463492063	-350.890134529
33	0.0165	-4576.4	-303.963492063	-282.631746032	-350.890134529
34	0.017	-4576.4	-281.131746032	-351.126984127	-350.890134529
35	0.0175	-4576.4	-349.626984127	-305.463492063	-350.890134529
36	0.018	-4588.4	-349.626984127	-351.126984127	-350.890134529
37	0.0185	-4576.4	-303.963492063	-351.126984127	-350.890134529
38	0.019	-4576.4	-303.963492063	-305.463492063	-305.760089686
39	0.0195	-4576.4	-349.626984127	-351.126984127	-350.890134529
40	0.02	-4576.4	-303.963492063	-351.126984127	-350.890134529
41	0.0205	-4576.4	-349.626984127	-351.126984127	-350.890134529
42	0.021	-4576.4	-281.131746032	-305.463492063	-350.890134529
43	0.0215	-4576.4	-349.626984127	-351.126984127	-350.890134529
44	0.022	-4576.4	-349.626984127	-351.126984127	-350.890134529
45	0.0225	-4576.4	-303.963492063	-351.126984127	-350.890134529
46	0.023	-4576.4	-303.963492063	-305.463492063	-305.760089686
47	0.0235	-4576.4	-303.963492063	-305.463492063	-350.890134529
48	0.024	-4576.4	-303.963492063	-351.126984127	-350.890134529
49	0.0245	-4576.4	-349.626984127	-351.126984127	-350.890134529
50	0.025	-4576.4	-349.626984127	-351.126984127	-350.890134529
