	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	0.62	-2.43846153846	-5.51875	18.6136363636
1	0.0005	4.94	-3.89615384615	4.609375	18.6136363636
2	0.001	-0.82	0.476923076923	1.715625	15.7909090909
3	0.0015	-2.26	0.476923076923	3.1625	14.3795454545
4	0.002	-0.82	-9.72692307692	1.715625	15.7909090909
5	0.0025	-5.14	4.85	-5.51875	12.9681818182
6	0.003	-6.58	1.93461538462	7.503125	11.5568181818
7	0.0035	-3.7	0.476923076923	1.715625	7.32272727273
8	0.004	-0.82	3.39230769231	4.609375	4.5
9	0.0045	-2.26	3.39230769231	3.1625	7.32272727273
10	0.005	-12.34	0.476923076923	1.715625	11.5568181818
11	0.0055	-8.02	1.93461538462	0.26875	7.32272727273
12	0.006	0.62	-8.26923076923	3.1625	12.9681818182
13	0.0065	0.62	-3.89615384615	0.26875	11.5568181818
14	0.007	4.94	1.93461538462	-1.178125	5.91136363636
15	0.0075	12.14	1.93461538462	-1.178125	7.32272727273
16	0.008	-0.82	1.93461538462	-8.4125	3.08863636364
17	0.0085	-0.82	3.39230769231	4.609375	1.67727272727
18	0.009	2.06	1.93461538462	1.715625	7.32272727273
19	0.0095	0.62	9.22307692308	4.609375	14.3795454545
20	0.01	-0.82	1.93461538462	0.26875	14.3795454545
21	0.0105	-10.9	3.39230769231	-2.625	17.2022727273
22	0.011	-13.78	0.476923076923	0.26875	29.9045454545
23	0.0115	0.62	-0.980769230769	13.290625	17.2022727273
24	0.012	0.62	-0.980769230769	-1.178125	15.7909090909
25	0.0125	0.62	-11.1846153846	-1.178125	14.3795454545
26	0.013	2.06	-9.72692307692	-1.178125	18.6136363636
27	0.0135	13.58	1.93461538462	-1.178125	14.3795454545
28	0.014	-2.26	-2.43846153846	-1.178125	12.9681818182
29	0.0145	0.62	0.476923076923	1.715625	27.0818181818
30	0.015	-0.82	0.476923076923	7.503125	18.6136363636
31	0.0155	-2.26	-11.1846153846	1.715625	20.025
32	0.016	0.62	-9.72692307692	3.1625	18.6136363636
33	0.0165	2.06	0.476923076923	4.609375	18.6136363636
34	0.017	-3.7	0.476923076923	1.715625	24.2590909091
35	0.0175	-0.82	0.476923076923	-4.071875	8.73409090909
36	0.018	-0.82	0.476923076923	7.503125	18.6136363636
37	0.0185	0.62	-0.980769230769	16.184375	8.73409090909
38	0.019	2.06	-8.26923076923	1.715625	11.5568181818
39	0.0195	0.62	1.93461538462	1.715625	3.08863636364
