	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	14.761549101	0.9256	1.60303030303	9.48301369863
1	0.0005	3.51618257261	2.3322	4.42424242424	8.07534246575
2	0.001	3.51618257261	0.9256	3.01363636364	27.782739726
3	0.0015	3.51618257261	20.618	-4.03939393939	3.85232876712
4	0.002	-4.91784232365	-1.8876	-1.21818181818	6.66767123288
5	0.0025	6.3275242047	0.9256	0.192424242424	8.07534246575
6	0.003	-2.10650069156	2.3322	5.83484848485	8.07534246575
7	0.0035	3.51618257261	0.9256	-5.45	15.1136986301
8	0.004	-0.700829875519	5.1454	4.42424242424	16.521369863
9	0.0045	-0.700829875519	5.1454	8.65606060606	20.7443835616
10	0.005	0.704840940526	2.3322	-2.62878787879	22.1520547945
11	0.0055	-3.51217150761	3.7388	4.42424242424	20.7443835616
12	0.006	-2.10650069156	0.9256	5.83484848485	13.7060273973
13	0.0065	0.704840940526	-1.8876	15.7090909091	22.1520547945
14	0.007	-2.10650069156	2.3322	-6.86060606061	23.5597260274
15	0.0075	0.704840940526	-4.7008	-8.27121212121	20.7443835616
16	0.008	0.704840940526	-3.2942	-1.21818181818	19.3367123288
17	0.0085	0.704840940526	6.552	-1.21818181818	15.1136986301
18	0.009	0.704840940526	6.552	-1.21818181818	12.2983561644
19	0.0095	0.704840940526	-7.514	-4.03939393939	6.66767123288
20	0.01	7.73319502075	-6.1074	-1.21818181818	3.85232876712
21	0.0105	2.11051175657	-1.8876	-6.86060606061	-1.77835616438
22	0.011	-6.3235131397	-1.8876	-5.45	-4.59369863014
23	0.0115	-2.10650069156	-4.7008	-6.86060606061	20.7443835616
24	0.012	3.51618257261	-4.7008	-1.21818181818	-1.77835616438
25	0.0125	0.704840940526	-1.8876	-18.1454545455	3.85232876712
26	0.013	0.704840940526	-3.2942	-13.9136363636	5.26
27	0.0135	0.704840940526	-3.2942	12.8878787879	5.26
28	0.014	0.704840940526	0.9256	-4.03939393939	5.26
29	0.0145	-0.700829875519	-1.8876	-1.21818181818	8.07534246575
30	0.015	-0.700829875519	-4.7008	-2.62878787879	9.48301369863
31	0.0155	2.11051175657	-7.514	-2.62878787879	8.07534246575
32	0.016	-4.91784232365	-1.8876	-4.03939393939	8.07534246575
33	0.0165	-3.51217150761	-3.2942	0.192424242424	13.7060273973
34	0.017	0.704840940526	-0.481	1.60303030303	13.7060273973
35	0.0175	-4.91784232365	-3.2942	-1.21818181818	24.9673972603
36	0.018	-0.700829875519	-0.481	0.192424242424	6.66767123288
37	0.0185	0.704840940526	-3.2942	0.192424242424	20.7443835616
38	0.019	-2.10650069156	-1.8876	-13.9136363636	22.1520547945
39	0.0195	-3.51217150761	-1.8876	-2.62878787879	24.9673972603
40	0.02	-3.51217150761	0.9256	-2.62878787879	24.9673972603
41	0.0205	-2.10650069156	3.7388	-6.86060606061	26.3750684932
42	0.021	-2.10650069156	-10.3272	0.192424242424	27.782739726
43	0.0215	-4.91784232365	-4.7008	0.192424242424	32.0057534247
44	0.022	0.704840940526	2.3322	0.192424242424	32.0057534247
45	0.0225	7.73319502075	2.3322	-2.62878787879	32.0057534247
46	0.023	-10.5405255878	2.3322	-1.21818181818	23.5597260274
47	0.0235	16.167219917	3.7388	0.192424242424	26.3750684932
48	0.024	-2.10650069156	5.1454	0.192424242424	22.1520547945
49	0.0245	-0.700829875519	6.552	-4.03939393939	17.9290410959
50	0.025	-0.700829875519	0.9256	-8.27121212121	13.7060273973
51	0.0255	-2.10650069156	6.552	-4.03939393939	13.7060273973
52	0.026	-3.51217150761	9.3652	-6.86060606061	12.2983561644
53	0.0265	-3.51217150761	-6.1074	-4.03939393939	13.7060273973
54	0.027	-2.10650069156	17.8048	-6.86060606061	9.48301369863
55	0.0275	0.704840940526	16.3982	-6.86060606061	8.07534246575
56	0.028	-4.91784232365	-3.2942	-1.21818181818	15.1136986301
57	0.0285	-16.163208852	2.3322	-2.62878787879	8.07534246575
58	0.029	17.5728907331	0.9256	-1.21818181818	12.2983561644
59	0.0295	-9.13485477178	2.3322	-5.45	2.44465753425
60	0.03	-9.13485477178	2.3322	-4.03939393939	5.26
61	0.0305	-3.51217150761	2.3322	-6.86060606061	29.1904109589
62	0.031	-2.10650069156	2.3322	-12.503030303	3.85232876712
63	0.0315	-3.51217150761	6.552	-11.0924242424	5.26
64	0.032	-3.51217150761	2.3322	-1.21818181818	13.7060273973
65	0.0325	-3.51217150761	5.1454	-13.9136363636	12.2983561644
66	0.033	-2.10650069156	14.9916	-9.68181818182	15.1136986301
67	0.0335	-6.3235131397	-3.2942	-11.0924242424	13.7060273973
68	0.034	-6.3235131397	3.7388	-12.503030303	15.1136986301
69	0.0345	-0.700829875519	2.3322	-13.9136363636	16.521369863
70	0.035	-16.163208852	3.7388	-12.503030303	15.1136986301
71	0.0355	17.5728907331	3.7388	-12.503030303	19.3367123288
72	0.036	-0.700829875519	3.7388	-13.9136363636	33.4134246575
73	0.0365	-2.10650069156	3.7388	-8.27121212121	13.7060273973
74	0.037	-4.91784232365	3.7388	-12.503030303	13.7060273973
75	0.0375	-4.91784232365	3.7388	-5.45	22.1520547945
76	0.038	-4.91784232365	6.552	-2.62878787879	23.5597260274
77	0.0385	-2.10650069156	9.3652	-6.86060606061	24.9673972603
78	0.039	-3.51217150761	-6.1074	-4.03939393939	24.9673972603
79	0.0395	-0.700829875519	17.8048	-4.03939393939	26.3750684932
80	0.04	-0.700829875519	-4.7008	-5.45	23.5597260274
81	0.0405	-13.3518672199	3.7388	-9.68181818182	23.5597260274
82	0.041	14.761549101	2.3322	-5.45	23.5597260274
83	0.0415	16.167219917	0.9256	-4.03939393939	24.9673972603
84	0.042	-11.9461964039	2.3322	-2.62878787879	5.26
85	0.0425	-3.51217150761	0.9256	-2.62878787879	16.521369863
86	0.043	-2.10650069156	2.3322	-13.9136363636	13.7060273973
87	0.0435	-2.10650069156	2.3322	5.83484848485	8.07534246575
88	0.044	-2.10650069156	0.9256	3.01363636364	9.48301369863
89	0.0445	0.704840940526	0.9256	-12.503030303	6.66767123288
90	0.045	2.11051175657	-3.2942	-6.86060606061	3.85232876712
91	0.0455	-0.700829875519	0.9256	-6.86060606061	1.03698630137
92	0.046	-4.91784232365	-1.8876	-6.86060606061	2.44465753425
93	0.0465	3.51618257261	-0.481	-6.86060606061	5.26
94	0.047	-16.163208852	0.9256	-6.86060606061	2.44465753425
95	0.0475	16.167219917	0.9256	-8.27121212121	12.2983561644
96	0.048	-4.91784232365	0.9256	-9.68181818182	23.5597260274
97	0.0485	-3.51217150761	0.9256	-5.45	-0.370684931507
98	0.049	-2.10650069156	3.7388	-5.45	22.1520547945
99	0.0495	-0.700829875519	6.552	-15.3242424242	3.85232876712
100	0.05	0.704840940526	6.552	-1.21818181818	5.26
101	0.0505	-0.700829875519	0.9256	-2.62878787879	8.07534246575
102	0.051	-0.700829875519	-3.2942	-8.27121212121	9.48301369863
103	0.0515	-3.51217150761	17.8048	-11.0924242424	9.48301369863
104	0.052	3.51618257261	0.9256	-12.503030303	12.2983561644
105	0.0525	-14.757538036	2.3322	-11.0924242424	9.48301369863
106	0.053	-16.163208852	3.7388	-11.0924242424	6.66767123288
107	0.0535	17.5728907331	2.3322	-11.0924242424	12.2983561644
108	0.054	-7.72918395574	2.3322	-8.27121212121	12.2983561644
109	0.0545	-3.51217150761	2.3322	-18.1454545455	12.2983561644
110	0.055	-0.700829875519	5.1454	-23.7878787879	13.7060273973
111	0.0555	-0.700829875519	6.552	4.42424242424	17.9290410959
112	0.056	-0.700829875519	5.1454	-19.5560606061	16.521369863
113	0.0565	-2.10650069156	-4.7008	-11.0924242424	13.7060273973
114	0.057	-0.700829875519	-4.7008	-15.3242424242	12.2983561644
115	0.0575	-0.700829875519	13.585	-12.503030303	12.2983561644
116	0.058	-2.10650069156	9.3652	-12.503030303	15.1136986301
117	0.0585	-11.9461964039	3.7388	-12.503030303	8.07534246575
118	0.059	17.5728907331	2.3322	-11.0924242424	13.7060273973
119	0.0595	-7.72918395574	2.3322	-11.0924242424	-4.59369863014
120	0.06	2.11051175657	0.9256	-12.503030303	-1.77835616438
121	0.0605	0.704840940526	2.3322	-22.3772727273	2.44465753425
122	0.061	4.92185338866	6.552	-6.86060606061	-0.370684931507
123	0.0615	2.11051175657	5.1454	-20.9666666667	2.44465753425
124	0.062	2.11051175657	0.9256	-20.9666666667	-0.370684931507
125	0.0625	2.11051175657	-1.8876	-11.0924242424	1.03698630137
126	0.063	-0.700829875519	3.7388	-6.86060606061	1.03698630137
127	0.0635	9.13886583679	3.7388	-8.27121212121	3.85232876712
128	0.064	4.92185338866	5.1454	-11.0924242424	5.26
129	0.0645	-9.13485477178	5.1454	-11.0924242424	2.44465753425
