	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
1	0.0005	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
2	0.001	-893.926373626	-4751.90392817	-934.879319042	-890.48239159
3	0.0015	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
4	0.002	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
5	0.0025	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
6	0.003	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
7	0.0035	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
8	0.004	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
9	0.0045	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
10	0.005	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
11	0.0055	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
12	0.006	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
13	0.0065	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
14	0.007	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
15	0.0075	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
16	0.008	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
17	0.0085	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
18	0.009	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
19	0.0095	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
20	0.01	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
21	0.0105	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
22	0.011	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
23	0.0115	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
24	0.012	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
25	0.0125	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
26	0.013	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
27	0.0135	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
28	0.014	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
29	0.0145	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
30	0.015	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
31	0.0155	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
32	0.016	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
33	0.0165	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
34	0.017	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
35	0.0175	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
36	0.018	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
37	0.0185	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
38	0.019	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
39	0.0195	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
40	0.02	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
41	0.0205	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
42	0.021	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
43	0.0215	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
44	0.022	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
45	0.0225	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
46	0.023	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
47	0.0235	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
48	0.024	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
49	0.0245	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
50	0.025	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
51	0.0255	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
52	0.026	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
53	0.0265	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
54	0.027	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
55	0.0275	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
56	0.028	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
57	0.0285	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
58	0.029	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
59	0.0295	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
60	0.03	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
61	0.0305	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
62	0.031	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
63	0.0315	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
64	0.032	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
65	0.0325	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
66	0.033	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
67	0.0335	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
68	0.034	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
69	0.0345	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
70	0.035	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
71	0.0355	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
72	0.036	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
73	0.0365	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
74	0.037	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
75	0.0375	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
76	0.038	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
77	0.0385	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
78	0.039	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
79	0.0395	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
80	0.04	-893.926373626	-4751.90392817	-889.897730139	-890.48239159
