	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	3.48593155894	-53.1203883495	-29.0087866109	33.7548951049
1	0.0005	45.7596958175	-51.7029126214	-26.189539749	14.0325174825
2	0.001	71.1239543726	-57.372815534	2.00292887029	-12.7335664336
3	0.0015	79.5787072243	-53.1203883495	13.279916318	-32.4559440559
4	0.002	61.2600760456	-38.945631068	13.279916318	-31.0472027972
5	0.0025	48.5779467681	-53.1203883495	31.6050209205	-14.1423076923
6	0.003	9.12243346008	-53.1203883495	33.0146443515	4.17132867133
7	0.0035	-19.0600760456	-51.7029126214	17.5087866109	23.8937062937
8	0.004	-47.2425855513	-54.5378640777	34.4242677824	35.1636363636
9	0.0045	-81.0615969582	-57.372815534	9.0510460251	36.5723776224
10	0.005	-83.8798479087	-54.5378640777	7.64142259414	19.6674825175
11	0.0055	-78.2433460076	-54.5378640777	20.3280334728	-5.68986013986
12	0.006	-72.6068441065	-51.7029126214	27.3761506276	-7.0986013986
13	0.0065	-40.1969581749	-51.7029126214	23.1472803347	-12.7335664336
14	0.007	-16.2418250951	-50.2854368932	14.689539749	-9.91608391608
15	0.0075	-0.74144486692	-53.1203883495	41.4723849372	-21.186013986
16	0.008	11.9406844106	-61.6252427184	35.8338912134	-25.4122377622
17	0.0085	21.8045627376	-36.1106796117	41.4723849372	-35.2734265734
18	0.009	3.48593155894	-53.1203883495	44.2916317992	-28.2297202797
19	0.0095	-7.78707224335	-50.2854368932	35.8338912134	-31.0472027972
20	0.01	-13.4235741445	-51.7029126214	27.3761506276	-14.1423076923
21	0.0105	-17.6509505703	-51.7029126214	18.9184100418	14.0325174825
22	0.011	-16.2418250951	-51.7029126214	28.7857740586	30.9374125874
23	0.0115	-14.8326996198	-61.6252427184	7.64142259414	40.7986013986
24	0.012	-12.0144486692	-61.6252427184	9.0510460251	46.4335664336
25	0.0125	-16.2418250951	-51.7029126214	11.870292887	49.251048951
26	0.013	-14.8326996198	-54.5378640777	6.23179916318	66.1559440559
27	0.0135	-16.2418250951	-51.7029126214	0.593305439331	78.8346153846
28	0.014	-4.96882129278	-50.2854368932	-0.816317991632	59.1122377622
29	0.0145	-2.15057034221	-54.5378640777	-6.45481171548	29.5286713287
30	0.015	-3.55969581749	-50.2854368932	-6.45481171548	-11.3248251748
31	0.0155	-4.96882129278	-46.0330097087	2.00292887029	11.215034965
32	0.016	-4.96882129278	-57.372815534	4.82217573222	22.484965035
33	0.0165	3.48593155894	-53.1203883495	14.689539749	21.0762237762
34	0.017	40.1231939163	-51.7029126214	20.3280334728	16.85
35	0.0175	51.3961977186	-51.7029126214	21.7376569038	21.0762237762
36	0.018	59.8509505703	-50.2854368932	23.1472803347	15.4412587413
37	0.0185	54.2144486692	-54.5378640777	3.41255230126	-0.0548951048951
38	0.019	45.7596958175	-61.6252427184	-14.9125523013	-19.7772727273
39	0.0195	28.8501901141	-46.0330097087	-57.2012552301	-19.7772727273
