	Time	Channel 1	Channel 2	Channel 3	Channel 4
0	0.0	-17.5385154062	6.24074074074	-16.3333333333	-11.47265625
1	0.0005	-11.9155462185	6.24074074074	-3.64761904762	-2.98359375
2	0.001	-10.5098039216	-0.907407407407	-16.3333333333	-5.81328125
3	0.0015	0.736134453782	4.81111111111	-17.7428571429	-4.3984375
4	0.002	3.54761904762	6.24074074074	-14.9238095238	-15.7171875
5	0.0025	4.95336134454	-3.76666666667	-19.1523809524	-12.8875
6	0.003	-0.669607843137	3.38148148148	-12.1047619048	-4.3984375
7	0.0035	0.736134453782	24.8259259259	0.580952380952	-4.3984375
8	0.004	23.2280112045	9.1	17.4952380952	-1.56875
9	0.0045	0.736134453782	-5.1962962963	18.9047619048	-1.56875
10	0.005	0.736134453782	7.67037037037	14.6761904762	-1.56875
11	0.0055	-4.88683473389	21.9666666667	3.4	-2.98359375
12	0.006	13.3878151261	6.24074074074	0.580952380952	-2.98359375
13	0.0065	-14.7270308123	4.81111111111	4.80952380952	13.99453125
14	0.007	-6.29257703081	3.38148148148	1.99047619048	-12.8875
15	0.0075	-6.29257703081	4.81111111111	-5.05714285714	-1.56875
16	0.008	-10.5098039216	4.81111111111	-5.05714285714	-4.3984375
17	0.0085	-10.5098039216	3.38148148148	-2.2380952381	-4.3984375
18	0.009	-11.9155462185	-5.1962962963	-3.64761904762	-4.3984375
19	0.0095	-24.5672268908	3.38148148148	-3.64761904762	-7.228125
20	0.01	-0.669607843137	3.38148148148	-0.828571428571	-15.7171875
21	0.0105	-13.3212885154	0.522222222222	3.4	8.33515625
22	0.011	-14.7270308123	4.81111111111	13.2666666667	-5.81328125
23	0.0115	-16.1327731092	3.38148148148	-3.64761904762	-4.3984375
24	0.012	-16.1327731092	20.537037037	-10.6952380952	-2.98359375
25	0.0125	-14.7270308123	-0.907407407407	-17.7428571429	-5.81328125
26	0.013	-10.5098039216	4.81111111111	-17.7428571429	-4.3984375
27	0.0135	-9.10406162465	6.24074074074	-9.28571428571	-8.64296875
28	0.014	-21.7557422969	7.67037037037	-6.46666666667	-5.81328125
29	0.0145	-27.3787114846	7.67037037037	1.99047619048	-5.81328125
30	0.015	-33.0016806723	7.67037037037	-2.2380952381	-2.98359375
31	0.0155	-35.8131652661	-5.1962962963	-7.87619047619	-1.56875
32	0.016	-35.8131652661	-0.907407407407	-13.5142857143	-0.15390625
33	0.0165	-37.218907563	6.24074074074	-17.7428571429	-2.98359375
34	0.017	-55.493557423	1.95185185185	-12.1047619048	-8.64296875
35	0.0175	-44.2476190476	4.81111111111	13.2666666667	-5.81328125
36	0.018	-44.2476190476	4.81111111111	27.3619047619	-5.81328125
37	0.0185	-41.4361344538	9.1	27.3619047619	-12.8875
38	0.019	-40.0303921569	3.38148148148	21.7238095238	-7.228125
39	0.0195	-35.8131652661	1.95185185185	7.62857142857	-5.81328125
40	0.02	-27.3787114846	4.81111111111	4.80952380952	-4.3984375
41	0.0205	3.54761904762	6.24074074074	0.580952380952	-5.81328125
42	0.021	-16.1327731092	6.24074074074	0.580952380952	8.33515625
43	0.0215	0.736134453782	4.81111111111	-5.05714285714	-7.228125
44	0.022	4.95336134454	3.38148148148	7.62857142857	-5.81328125
45	0.0225	3.54761904762	7.67037037037	-14.9238095238	-4.3984375
46	0.023	-2.07535014006	17.6777777778	-7.87619047619	-2.98359375
47	0.0235	-4.88683473389	-5.1962962963	-9.28571428571	-2.98359375
48	0.024	3.54761904762	1.95185185185	-5.05714285714	-7.228125
49	0.0245	-11.9155462185	3.38148148148	0.580952380952	-7.228125
50	0.025	-10.5098039216	0.522222222222	0.580952380952	-8.64296875
51	0.0255	-18.9442577031	3.38148148148	30.180952381	-5.81328125
52	0.026	-21.7557422969	-15.2037037037	18.9047619048	-7.228125
53	0.0265	-23.1614845938	17.6777777778	21.7238095238	-8.64296875
54	0.027	-25.9729691877	-3.76666666667	18.9047619048	-7.228125
55	0.0275	-18.9442577031	0.522222222222	0.580952380952	-8.64296875
56	0.028	-18.9442577031	1.95185185185	-19.1523809524	-5.81328125
57	0.0285	-14.7270308123	3.38148148148	-21.9714285714	-7.228125
58	0.029	-14.7270308123	6.24074074074	1.99047619048	-7.228125
59	0.0295	-18.9442577031	-6.62592592593	-0.828571428571	-2.98359375
60	0.03	-17.5385154062	19.1074074074	0.580952380952	-5.81328125
61	0.0305	-18.9442577031	6.24074074074	-0.828571428571	-7.228125
62	0.031	-28.7844537815	3.38148148148	-7.87619047619	-8.64296875
63	0.0315	-0.669607843137	3.38148148148	-17.7428571429	-19.96171875
64	0.032	-18.9442577031	1.95185185185	-16.3333333333	6.9203125
65	0.0325	-23.1614845938	4.81111111111	16.0857142857	-7.228125
66	0.033	-21.7557422969	3.38148148148	6.21904761905	-7.228125
67	0.0335	-17.5385154062	7.67037037037	14.6761904762	-10.0578125
68	0.034	-16.1327731092	-3.76666666667	-3.64761904762	-8.64296875
69	0.0345	-20.35	3.38148148148	-14.9238095238	-8.64296875
70	0.035	-11.9155462185	6.24074074074	-17.7428571429	-4.3984375
71	0.0355	-27.3787114846	6.24074074074	-16.3333333333	-7.228125
72	0.036	-11.9155462185	7.67037037037	-13.5142857143	-12.8875
73	0.0365	-7.69831932773	6.24074074074	-16.3333333333	-5.81328125
74	0.037	-7.69831932773	1.95185185185	-0.828571428571	-5.81328125
75	0.0375	-3.48109243697	3.38148148148	0.580952380952	-5.81328125
76	0.038	-11.9155462185	7.67037037037	1.99047619048	-2.98359375
77	0.0385	-6.29257703081	3.38148148148	1.99047619048	-5.81328125
